#TABLE 5,,,,,,,,,
#,,,,,,,,,
#Summary of Observations of Leo I Targets,,,,,,,,,
#,R b,P.A.b,v h,vh,,,,,
#IDa,(arcsec),(deg),( km s1 ),( km s1),J2000.0,J2000.0,I,V  I,SRCc
#(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
108...................,192.1,84.9,284.9,1.9,10 8 40.06,12 18 47.0,18.28,1.40,5
109...................,192.9,37.4,296.2,3.9,10 8 34.99,12 21 03.3,17.38,1.77,123
110...................,192.9,225.9,279.6,1.8,10 8 17.55,12 16 15.7,18.15,1.55,8
111...................,194.1,197.4,275.8,1.9,10 8 23.03,12 15 24.8,18.54,1.48,6
112...................,194.9,48.6,272.4,2.1,10 8 36.97,12 20 39.0,18.65,1.11,5
113...................,195.3,150.0,286.9,2.0,10 8 33.66,12 15 40.9,17.72,1.63,358
114...................,195.6,236.3,282.4,1.7,10 8 15.9,12 16 41.4,19.17,1.19,7
115...................,195.9,254.1,302.8,1.9,10 8 14.14,12 17 36.4,18.88,1.18,6
116...................,198.0,110.8,273.3,2.0,10 8 39.63,12 17 19.8,18.33,1.36,134
117...................,198.5,318.6,277.7,2.0,10 8 18.05,12 20 59.0,18.68,1.36,1
118...................,200.3,62.3,282.6,1.9,10 8 39.1,12 20 03.1,18.17,1.39,1
119...................,201.7,359.8,275.6,2.4,10 8 26.94,12 21 51.7,18.85,1.27,23
120...................,201.8,137.1,272.1,1.9,10 8 36.37,12 16 02.1,18.64,1.28,6
121...................,202.0,339.7,280.9,2.0,10 8 22.21,12 21 39.4,18.71,1.31,2
122...................,202.2,276.3,285.5,2.5,10 8 13.29,12 18 52.3,18.35,1.40,23
123...................,203.8,301.5,269.4,1.9,10 8 15.15,12 20 16.6,19.31,1.27,7
124...................,204.2,306.9,277.5,3.6,10 8 15.85,12 20 32.5,17.59,1.57,134
125...................,204.3,32.1,270.5,2.0,10 8 34.42,12 21 23.0,19.02,1.30,4
126...................,204.7,317.6,268.9,2.0,10 8 17.58,12 21 01.2,18.78,1.36,6
127...................,204.8,274.7,287.9,1.8,10 8 13.07,12 18 46.9,19.14,1.25,7
128...................,205.5,96.6,288.6,3.2,10 8 40.93,12 18 6.4,18.23,1.43,124
129...................,208.7,16.2,288.5,1.9,10 8 30.98,12 21 50.4,19.03,1.28,5
130...................,209.6,18.2,267.5,2.1,10 8 31.47,12 21 49.1,19.20,1.27,2
131...................,211.0,136.3,293.5,1.8,10 8 36.95,12 15 57.5,18.58,1.29,3
132...................,214.8,178.7,273.0,1.8,10 8 27.34,12 14 55.3,19.01,1.23,7
133...................,215.3,335.3,287.1,2.1,10 8 20.86,12 21 45.6,18.78,1.30,5
134...................,215.4,43.6,292.2,1.8,10 8 37.14,12 21 5.9,19.03,1.26,7
135...................,215.8,225.8,277.9,2.0,10 8 16.45,12 15 59.4,18.28,1.40,245
136...................,217.3,344.8,291.8,1.8,10 8 23.12,12 21 59.7,18.85,1.29,7
137...................,217.7,261.6,273.6,1.7,10 8 12.31,12 17 58,18.64,1.30,7
138...................,218.4,49.8,289.6,1.7,10 8 38.38,12 20 51,18.70,1.35,7
139...................,218.6,187.7,5.4,2.6,10 8 25,12 14 53.4,18.57,1.22,125
140...................,220.5,152.5,287.5,1.9,10 8 33.94,12 15 14.4,18.19,1.41,4
141...................,220.6,327.5,281.3,1.9,10 8 18.92,12 21 36.1,18.95,1.29,2
142...................,221.7,145.4,10.0,2.0,10 8 35.59,12 15 27.5,18.65,1.34,1
143...................,221.8,307.1,279.4,1.9,10 8 14.93,12 20 43.8,18.18,1.46,5
144...................,225.5,297.4,286.3,2.0,10 8 13.33,12 20 13.6,18.38,1.38,2
145...................,226.0,134.3,282.3,1.9,10 8 38.04,12 15 52.2,18.05,1.45,5
146y.................,226.1,279.5,14.3,2.1,10 8 11.78,12 19 7.1,19.12,1.15,1
147...................,226.3,163.4,279.3,2.0,10 8 31.4,12 14 53.1,19.03,1.18,1
148y.................,226.6,119.7,14.7,2.0,10 8 40.43,12 16 37.8,18.44,1.37,1
149...................,227.1,184.5,289.5,1.8,10 8 25.79,12 14 43.6,18.52,1.37,3
150...................,227.6,244.0,7.4,2.1,10 8 13.04,12 16 50.3,17.55,1.60,1234
151...................,228.8,54.5,379.4,2.1,10 8 39.71,12 20 42.8,19.33,1.21,2
152y.................,229.4,343.6,19.5,2.0,10 8 22.58,12 22 10.1,19.36,1.19,1
153...................,230.7,74.2,270.7,3.7,10 8 42.15,12 19 32.7,17.87,1.47,124
154...................,230.8,231.9,21.0,2.0,10 8 14.6,12 16 7.7,18.21,1.31,1
155...................,233.0,356.6,28.0,1.9,10 8 26.05,12 22 22.6,19.38,1.00,3
156...................,233.9,189.2,268.3,2.0,10 8 24.46,12 14 39.1,18.60,1.37,6
157...................,234.7,134.8,273.4,4.3,10 8 38.37,12 15 44.7,17.83,1.57,14
158...................,239.0,32.2,285.2,1.7,10 8 35.7,12 21 52.2,18.88,1.20,7
159...................,240.0,6.9,279.5,1.9,10 8 28.97,12 22 28.3,19.46,1.24,7
160...................,241.1,316.3,295.0,1.8,10 8 15.63,12 21 24.3,19.45,1.27,7
161...................,241.7,200.0,282.3,3.7,10 8 21.37,12 14 42.8,17.43,1.70,1234
162...................,243.0,140.7,270.8,2.1,10 8 37.5,12 15 21.9,19.24,1.25,6
163...................,244.3,205.1,287.9,1.9,10 8 19.92,12 14 48.8,18.24,1.38,5
164...................,244.4,134.9,272.1,1.7,10 8 38.81,12 15 37.5,18.69,1.21,7
165...................,244.9,17.2,288.2,2.0,10 8 31.95,12 22 23.9,19.60,1.14,7
166...................,247.4,194.6,281.9,2.0,10 8 22.74,12 14 30.6,18.31,1.39,5
167...................,247.4,254.6,278.8,1.8,10 8 10.72,12 17 24.4,17.86,1.49,3
168...................,251.2,16.4,294.9,2.1,10 8 31.85,12 22 30.9,18.89,1.30,4
169...................,253.2,154.7,280.7,1.8,10 8 34.37,12 14 41,19.25,1.24,7
170...................,254.5,338.0,283.6,3.3,10 8 20.49,12 22 25.9,18.87,1.27,23
171...................,258.4,89.4,298.8,3.2,10 8 44.63,12 18 32.8,18.18,1.43,24
172...................,258.7,345.2,276.1,1.8,10 8 22.48,12 22 40.1,18.86,1.28,3
173...................,259.3,162.7,287.6,2.1,10 8 32.25,12 14 22.4,19.35,1.21,3
174...................,260.3,70.3,298.9,1.9,10 8 43.72,12 19 57.8,18.31,1.38,5
175...................,260.3,141.9,286.2,2.1,10 8 37.96,12 15 5.2,18.64,1.33,1
176...................,263.1,159.7,289.0,1.7,10 8 33.24,12 14 23.3,18.48,1.37,7
177...................,263.5,179.7,290.3,2.0,10 8 27.09,12 14 6.5,18.48,1.40,1
178...................,264.2,181.1,278.2,2.1,10 8 26.65,12 14 5.8,18.80,1.33,5
179...................,266.3,104.6,289.7,2.3,10 8 44.58,12 17 22.8,17.86,1.50,1234
180...................,269.1,96.9,272.3,2.1,10 8 45.23,12 17 57.6,18.74,1.34,5
181...................,269.3,201.4,277.9,1.7,10 8 20.3,12 14 19.2,18.75,1.35,7
182y.................,271.0,72.3,19.3,2.0,10 8 44.62,12 19 52.2,18.93,1.28,1
183...................,274.3,221.0,296.7,1.9,10 8 14.72,12 15 3,18.56,1.38,4
184...................,278.5,168.8,288.6,2.1,10 8 30.68,12 13 56.8,18.96,1.21,5
185...................,278.7,301.5,286.3,2.1,10 8 10.79,12 20 55.7,18.21,1.50,1237
186...................,282.0,66.8,288.4,1.9,10 8 44.69,12 20 20.9,18.21,1.39,4
187...................,282.5,148.2,282.9,2.1,10 8 37.16,12 14 29.9,18.39,1.36,1
188...................,283.7,281.0,281.7,2.1,10 8 8,12 19 24.3,18.86,1.33,5
189...................,284.8,161.4,277.7,1.9,10 8 33.19,12 13 60,18.62,1.36,6
190...................,286.8,159.0,0.5,2.1,10 8 34,12 14 2.2,18.23,1.45,1
191...................,288.4,171.6,298.3,1.8,10 8 29.86,12 13 44.7,19.17,1.28,7
192...................,289.6,226.6,299.4,2.1,10 8 12.64,12 15 11.1,19.49,1.23,57
193...................,293.1,196.3,270.5,1.9,10 8 21.4,12 13 48.6,17.69,1.68,1
194...................,293.8,153.3,198.8,2.0,10 8 36,12 14 07.5,19.01,1.18,5
195...................,294.5,178.3,276.8,4.1,10 8 27.58,12 13 35.6,18.80,1.35,134
196...................,295.3,54.0,275.8,2.0,10 8 43.3,12 21 23.6,18.52,1.37,5
197...................,295.7,211.8,283.3,1.6,10 8 16.37,12 14 18.7,18.42,1.37,7
198...................,297.1,88.6,283.9,2.0,10 8 47.27,12 18 37.1,18.60,1.31,1
199y.................,298.6,292.1,16.6,2.0,10 8 8.12,12 20 22.3,19.34,1.24,1
200...................,299.0,187.1,275.0,1.7,10 8 24.49,12 13 33.3,18.92,1.34,7
201...................,299.1,132.2,276.3,2.1,10 8 42.11,12 15 08.9,19.18,1.25,1
202...................,299.3,213.3,97.2,3.0,10 8 15.8,12 14 19.7,17.75,1.55,123
203...................,300.0,234.0,290.1,1.9,10 8 10.43,12 15 33.8,18.59,1.37,6
204...................,300.3,28.0,294.5,2.0,10 8 36.63,12 22 55.1,18.55,1.39,5
205...................,301.0,262.2,5.1,2.1,10 8 6.65,12 17 49.1,18.30,1.48,1
206...................,301.5,39.8,271.9,2.1,10 8 40.17,12 22 21.6,18.50,1.32,1
207...................,301.8,336.4,283.3,2.1,10 8 18.75,12 23 06.5,19.20,1.23,2
208...................,301.9,119.9,276.5,1.9,10 8 44.86,12 15 59.5,18.59,1.38,6
209...................,302.2,112.7,287.5,2.1,10 8 46.02,12 16 33.4,19.17,1.26,6
210...................,304.2,331.8,280.3,2.0,10 8 17.2,12 22 58.2,19.60,1.20,7
211...................,304.6,19.8,292.4,2.1,10 8 34.04,12 23 16.6,18.62,1.38,3
212...................,304.6,116.9,287.5,1.9,10 8 45.54,12 16 12.3,18.57,1.40,5
213...................,305.1,304.8,281.6,4.5,10 8 9.91,12 21 24.2,18.70,1.34,23
214...................,305.7,90.1,261.5,2.6,10 8 47.86,12 18 29.6,18.48,1.36,34
215...................,306.7,110.3,279.2,1.9,10 8 46.63,12 16 43.7,19.25,1.22,7
216...................,307.6,118.7,279.1,2.0,10 8 45.4,12 16 02.1,18.46,1.40,14
217...................,307.6,261.7,276.3,1.9,10 8 6.23,12 17 45.4,19.08,1.22,3
218...................,308.6,289.6,285.9,2.0,10 8 7.16,12 20 13.4,19.44,1.19,6
219...................,308.9,213.5,287.4,1.9,10 8 15.36,12 14 12.5,18.29,1.36,5
220...................,309.6,208.3,293.8,2.1,10 8 16.98,12 13 57.4,19.08,1.25,4
221...................,312.5,331.7,273.3,2.1,10 8 16.89,12 23 05.2,18.24,1.45,123
222...................,313.2,311.3,267.5,3.3,10 8 10.95,12 21 56.8,18.18,1.45,23
223...................,314.4,244.5,278.4,2.0,10 8 7.64,12 16 14.6,18.81,1.33,6
224...................,314.5,214.5,288.2,2.0,10 8 14.84,12 14 10.9,18.93,1.31,6
225...................,315.1,139.4,28.4,1.9,10 8 40.99,12 14 30.8,19.27,1.24,7
226...................,315.1,237.2,289.7,1.9,10 8 8.93,12 15 39.2,18.40,1.41,1
227...................,318.2,284.8,276.4,1.9,10 8 6.01,12 19 51.3,19.22,1.24,7
228...................,318.4,298.2,491.2,2.1,10 8 7.85,12 21 00.5,18.67,1.32,5
229...................,318.5,184.4,278.8,2.0,10 8 25.32,12 13 12.5,19.38,1.23,6
230...................,318.7,348.7,287.6,2.0,10 8 22.75,12 23 42.6,18.93,1.33,6
231...................,319.5,243.7,274.2,1.6,10 8 7.45,12 16 08.6,18.33,1.40,7
232...................,320.1,122.3,285.7,2.0,10 8 45.46,12 15 38.9,19.49,1.16,7
233...................,320.2,81.4,294.7,1.9,10 8 48.61,12 19 17.6,19.49,1.19,7
234...................,320.4,275.3,290.2,2.0,10 8 5.23,12 18 59.4,19.26,1.17,6
235...................,320.6,216.3,286.2,1.8,10 8 14.06,12 14 11.5,19.45,1.13,7
236...................,321.2,77.0,298.0,2.1,10 8 48.36,12 19 42.2,18.09,1.49,4
237...................,322.5,285.6,283.3,2.0,10 8 5.8,12 19 56.6,18.91,1.33,2
238...................,324.7,280.0,282.6,1.8,10 8 5.18,12 19 26.4,19.17,1.23,7
239...................,326.0,247.8,281.7,2.5,10 8 6.4,12 16 26.9,18.19,1.47,1237
240...................,326.1,259.7,276.0,1.9,10 8 5.11,12 17 31.7,18.78,1.30,6
241...................,326.5,263.6,280.5,1.9,10 8 4.86,12 17 53.6,19.01,1.28,6
242...................,327.3,117.7,271.0,1.7,10 8 46.77,12 15 57.8,18.54,1.38,7
243...................,329.0,169.7,292.7,2.0,10 8 31,12 13 06.3,19.06,1.38,6
244...................,329.4,220.5,89.7,2.0,10 8 12.42,12 14 19.3,18.64,1.26,12
245...................,329.4,311.3,279.8,2.0,10 8 10.11,12 22 07.4,19.56,1.20,7
246...................,330.6,237.1,278.3,1.7,10 8 8.06,12 15 30.4,19.09,1.29,7
247...................,330.9,264.1,269.0,2.0,10 8 4.54,12 17 56.1,18.73,1.30,5
248...................,331.1,354.6,35.8,2.1,10 8 24.87,12 23 59.6,17.56,1.57,123
249...................,334.8,69.0,303.3,1.8,10 8 48.34,12 20 29.7,19.24,1.25,7
250...................,335.9,269.7,277.7,2.1,10 8 4.08,12 18 28.4,19.24,1.23,6
251...................,336.1,95.0,282.6,1.9,10 8 49.85,12 18 00.8,18.68,1.32,4
252...................,337.1,37.0,287.1,2.0,10 8 40.85,12 22 59.2,18.90,1.29,5
253...................,338.1,235.4,289.2,1.9,10 8 8.01,12 15 18.0,17.58,1.62,234
254y.................,339.4,15.3,22.9,2.1,10 8 33.1,12 23 57.4,19.56,1.18,1
255...................,339.5,272.2,276.2,1.9,10 8 3.85,12 18 43.2,19.44,1.25,7
256...................,340.1,95.5,270.8,1.9,10 08 50.10,12 17 57.3,19.52,1.22,7
257...................,344.1,85.5,281.6,1.7,10 08 50.41,12 18 57.1,18.66,1.32,7
258...................,347.0,113.0,282.8,2.0,10 08 48.79,12 16 14.3,19.03,1.30,5
259...................,347.0,291.3,277.7,1.8,10 08 04.94,12 20 36.1,19.40,1.21,7
260...................,347.8,193.2,297.7,2.5,10 08 21.60,12 12 51.3,18.46,1.36,26
261...................,349.3,79.7,292.6,2.1,10 08 50.45,12 19 32.6,18.98,1.30,6
262...................,350.7,277.0,12.8,1.8,10 08 03.25,12 19 12.9,17.89,1.50,23
263...................,351.2,237.2,277.8,2.1,10 08 06.85,12 15 19.9,19.52,1.24,6
264...................,353.0,320.4,16.1,1.9,10 08 11.65,12 23 2.1,17.59,1.72,2
265...................,353.5,58.2,276.2,2.0,10 08 47.50,12 21 36.4,19.46,1.21,6
266...................,354.7,264.7,294.6,1.8,10 08 02.90,12 17 57.3,19.24,1.23,7
267...................,355.0,77.7,282.6,1.8,10 08 50.67,12 19 45.4,19.33,1.22,7
268...................,356.5,208.0,288.8,2.0,10 08 15.58,12 13 15.2,19.19,1.24,6
269...................,358.3,253.2,300.0,2.6,10 08 03.60,12 16 46.2,18.64,1.23,235
270...................,359.4,49.8,260.2,2.1,10 08 45.73,12 22 22.1,19.03,1.23,6
271...................,361.2,258.0,263.9,1.8,10 08 02.90,12 17 14.6,19.69,1.10,7
272...................,361.3,323.3,286.4,2.8,10 08 12.27,12 23 19.7,17.88,1.54,147
273...................,361.4,238.8,276.0,2.0,10 08 05.92,12 15 22.6,17.65,1.69,5
274y.................,362.6,120.8,22.9,2.1,10 08 48.26,12 15 24.5,19.06,1.21,1
275...................,364.3,128.5,274.0,2.1,10 08 46.45,12 14 43.2,18.96,1.26,6
276...................,364.5,287.2,290.3,2.1,10 08 03.24,12 20 17.8,18.31,1.42,23
277...................,366.0,61.0,276.0,1.8,10 08 48.85,12 21 27.4,18.93,1.26,7
278...................,370.6,334.4,277.0,2.1,10 08 16.07,12 24 4.2,19.14,1.20,23
279...................,370.8,48.9,266.3,2.3,10 08 46.08,12 22 33.5,18.20,1.47,12
280...................,372.0,301.9,300.1,1.7,10 08 05.45,12 21 46.6,18.68,1.37,3
281...................,379.4,202.4,13.6,2.0,10 08 17.12,12 12 39.3,19.62,1.20,1
282...................,380.7,72.7,6.6,1.8,10 08 51.80,12 20 23.3,19.20,1.26,7
283...................,382.1,60.9,278.5,2.0,10 08 49.78,12 21 36,18.50,1.40,5
284...................,382.2,126.5,273.5,1.9,10 08 47.96,12 14 42.6,19.34,1.23,7
285...................,383.4,156.8,292.6,2.1,10 08 37.32,12 12 37.7,19.11,1.28,6
286...................,388.0,278.2,0.5,1.9,10 08 00.79,12 19 25.2,19.08,1.22,6
287...................,388.8,65.2,286.1,2.0,10 08 51.08,12 21 13.2,19.59,1.17,7
288...................,392.0,249.4,272.5,1.8,10 08 01.96,12 16 12.2,19.35,1.29,7
289...................,392.3,36.4,280.4,2.1,10 08 42.90,12 23 45.6,18.17,1.51,234
290...................,393.2,252.0,260.1,2.0,10 08 01.49,12 16 28.3,19.19,1.25,6
291y.................,405.4,71.2,20.3,2.1,10 08 53.19,12 20 40.5,19.13,1.27,1
292y.................,407.7,266.3,14.1,2.1,10 07 59.24,12 18 3.6,19.37,1.23,2
293...................,411.9,228.8,285.9,2.0,10 08 05.85,12 13 58.8,18.72,1.30,1
294...................,413.9,294.2,279.1,2.1,10 08 01.24,12 21 19.8,19.33,1.20,2
295...................,415.1,260.0,307.2,2.8,10 07 59.11,12 17 17.6,18.37,1.46,23
296y.................,420.6,276.8,19.8,2.0,10 07 58.50,12 19 19.6,19.47,1.21,1
